IDBCA00002,BCA-PLAZACENTELLAEDOMEX
IDBCA00003,BCA - TAXQUEÑA EDUCACION
IDBCA00004,BCA - PABELLON REMEDIOS
IDBCA00005,BCA-NICOLAS ROMERO TOWN CENTER
IDBCA00006,BCA-CENTROMAGNOGDL
IDBCA00007,BCA - ROSARIO TOWN CENTER
IDBCA00008,BCA - LUNA PARC
IDBCA00009,BUSINESS CORP ASSOC - MOLIERE
IDBCA00010,BUSINESS CA-PLAZA LA CUSPIDE
IDBCA00011,BUSINESS CO-ESPACIO ESMERALDA
IDBCA00012,BUSINESS CORPORATE-ZENTRALIA
IDBCA00013,BUSINESS CORP ASSOC-HUEYOTENCO
IDBCA00014,BCA - SAN MARCOS POWER CENTER
IDBCA00015,BCA - CENTRAL DE ABASTOS
IDBCA00016,BCA-SORIANAELROSARIODF
IDBCA00017,BCA-COSMOPOLIIMEX
IDBCA00018,BCA-PLAZA COPILCO DF
IDBCA00020,BCA - PABELLON CUEMANCO
IDBCA00023,BCA -COACALCO POWER CENTER
IDBCA00024,BCA CITY PLAZA XOCHIMILCO DF
IDBCA00025,BCA -PLAZA ARAGON II
IDBCA00026,BCA - LA ESTACION
IDBCA00027,BCA - SAN ANTONIO EXHIBIMEX
IDBCA00029,BUSINESS CORPORATE - ZUMPANGO
IDBCA00030,BCA - LAGO GUADALUPE
IDBCA00031,BUSINESS C A - HDA STA BARBARA
IDBCA00034,BCA-COSMOPOLIMEX
IDBCA00035,BCA-GALERIAS GDL
IDBCA00036,BCA - PABELLON VALLE
IDBCA00037,BCA-CENTRO COMERCIAL ARBOLEDAS
IDBCA00038,BCA-PATIO CLAVERIA
IDBCA00039,MIRAMONTES
IDBCA00040,BCA-LUNAPARCIIEDOMEX
IDBCA00041,BCA - PLAZA ERMITA
IDBCA00043,BCA - PATIO ECATEPEC
IDBCA00045,BCA - HANK GLEZ / ARAGON 1
IDBCA00046,BUSINESS - SENDERO ECATEPEC
IDBCA00047,BCA-PABELLONDELVALLEII
IDBCA00051,BCA - PLAZA CAÑADA HUEHUETOCA
IDBCA00052,BCA-OASISCOYOACANMEX
IDBCA00057,BCA - GRAN PATIO SANTA FE
IDBCA00058,BCA-FORUMTLAQUEPAQUE
IDBCA00060,BUSINESS COR ASSO  STA BARBARA
IDBCA00063,BUSINESS C A-GALERIAS PACHUCA
IDBCA00064,BCA PATIO LA RAZA MEX
IDBCA00066,BCA GALERIAS D10 CVA
IDBCA00067,BCA FORUM CUERNAVACA CVA
IDBCA00070,BCA PUNTO ORIENTE GDL
IDBCA00081,OUTLET GUADALAJARA
IDBCA00084,PORTAL SAN ANGEL
IDBCA00086,BCA LA ISLA PUERTO VALLARTA POV
IDBCA00090,PARQUES POLANCO
IDBCA00092,BCA PASEO VENTURA MEX
